"Best parameters:
,""{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""

Score:,0.7537037037037037

0.72222 (+/-0.13426) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.72407 (+/-0.14239) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.14094) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 21, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14354) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 21, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14750) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.15853) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15853) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 23, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.16136) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 23, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.72037 (+/-0.19549) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.75370 (+/-0.16489) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.16638) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.72778 (+/-0.16050) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.13364) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 26, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.13084) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 26, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.16859) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 27, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.15818) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 27, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.71667 (+/-0.15262) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 28, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.14354) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 28, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.12968) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 29, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.16802) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 29, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15774) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 30, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.72222 (+/-0.14402) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 30, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74630 (+/-0.15643) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 31, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.72963 (+/-0.16464) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 31, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74630 (+/-0.14239) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 32, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74444 (+/-0.15262) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 32, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.15774) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 33, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.13729) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 33, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.72963 (+/-0.15982) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 34, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.75185 (+/-0.14778) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 34, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.14600) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 35, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14750) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 35, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.16127) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 36, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.13888) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 36, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.72222 (+/-0.14600) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 37, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

