Mean;STD;Activation;Alpha;Hidden Layer Size;Learning rate;Random State;Solver;;"Best parameters: ,""{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': 39, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""
0.77778;(+/-0.12205);'tanh',;0.05,;39;'constant',;None,;'lbfgs'};;
0.76852;(+/-0.12516);'logistic',;0.05,;60;'constant',;1;'lbfgs'};;
0.76852;(+/-0.12516);'logistic',;0.05,;60;'adaptive',;1;'lbfgs'};;
0.76481;(+/-0.16338);'tanh',;0.05,;38;'constant',;None,;'lbfgs'};;
0.76481;(+/-0.12582);'tanh',;0.05,;40;'constant',;1;'lbfgs'};;
0.76481;(+/-0.12582);'tanh',;0.05,;40;'adaptive',;1;'lbfgs'};;
0.76481;(+/-0.15244);'tanh',;0.05,;49;'constant',;None,;'lbfgs'};;
0.76481;(+/-0.11978);'tanh',;0.05,;63;'constant',;1;'lbfgs'};;
0.76481;(+/-0.11978);'tanh',;0.05,;63;'adaptive',;1;'lbfgs'};;
0.76481;(+/-0.14354);'tanh',;0.05,;65;'adaptive',;None,;'lbfgs'};;
0.76481;(+/-0.16464);'tanh',;0.05,;87;'constant',;1;'lbfgs'};;
0.76481;(+/-0.16464);'tanh',;0.05,;87;'adaptive',;1;'lbfgs'};;
0.76481;(+/-0.15853);'tanh',;0.05,;94;'constant',;None,;'lbfgs'};;
0.76296;(+/-0.15878);'tanh',;0.05,;36;'adaptive',;None,;'lbfgs'};;
0.76296;(+/-0.12384);'tanh',;0.05,;54;'constant',;1;'lbfgs'};;
0.76296;(+/-0.12384);'tanh',;0.05,;54;'adaptive',;1;'lbfgs'};;
0.76296;(+/-0.13374);'tanh',;0.05,;60;'constant',;1;'lbfgs'};;
0.76296;(+/-0.13374);'tanh',;0.05,;60;'adaptive',;1;'lbfgs'};;
0.76296;(+/-0.15643);'logistic',;0.05,;44;'constant',;1;'lbfgs'};;
0.76296;(+/-0.15643);'logistic',;0.05,;44;'adaptive',;1;'lbfgs'};;
0.76111;(+/-0.16050);'tanh',;0.05,;45;'constant',;1;'lbfgs'};;
0.76111;(+/-0.16050);'tanh',;0.05,;45;'adaptive',;1;'lbfgs'};;
0.76111;(+/-0.16630);'tanh',;0.05,;48;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.14258);'tanh',;0.05,;49;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.13084);'tanh',;0.05,;51;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.11863);'tanh',;0.05,;55;'constant',;1;'lbfgs'};;
0.76111;(+/-0.11863);'tanh',;0.05,;55;'adaptive',;1;'lbfgs'};;
0.76111;(+/-0.14852);'tanh',;0.05,;58;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.12798);'tanh',;0.05,;59;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.11148);'tanh',;0.05,;59;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.14258);'tanh',;0.05,;62;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.13699);'tanh',;0.05,;64;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.14258);'tanh',;0.05,;70;'constant',;1;'lbfgs'};;
0.76111;(+/-0.14258);'tanh',;0.05,;70;'adaptive',;1;'lbfgs'};;
0.76111;(+/-0.13966);'tanh',;0.05,;83;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.13084);'tanh',;0.05,;96;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.15896);'logistic',;0.05,;32;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.15154);'logistic',;0.05,;37;'adaptive',;None,;'lbfgs'};;
0.76111;(+/-0.13966);'logistic',;0.05,;46;'constant',;None,;'lbfgs'};;
0.76111;(+/-0.13729);'logistic',;0.05,;83;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.15026);'tanh',;0.05,;31;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.12351);'tanh',;0.05,;31;'adaptive',;None,;'lbfgs'};;
0.75926;(+/-0.15878);'tanh',;0.05,;43;'constant',;1;'lbfgs'};;
0.75926;(+/-0.15878);'tanh',;0.05,;43;'adaptive',;1;'lbfgs'};;
0.75926;(+/-0.14094);'tanh',;0.05,;47;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.14525);'tanh',;0.05,;51;'adaptive',;None,;'lbfgs'};;
0.75926;(+/-0.12582);'tanh',;0.05,;54;'adaptive',;None,;'lbfgs'};;
0.75926;(+/-0.14094);'tanh',;0.05,;56;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.13618);'tanh',;0.05,;61;'adaptive',;None,;'lbfgs'};;
0.75926;(+/-0.15564);'tanh',;0.05,;65;'constant',;1;'lbfgs'};;
0.75926;(+/-0.15564);'tanh',;0.05,;65;'adaptive',;1;'lbfgs'};;
0.75926;(+/-0.15853);'tanh',;0.05,;66;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.11978);'tanh',;0.05,;74;'adaptive',;None,;'lbfgs'};;
0.75926;(+/-0.13466);'tanh',;0.05,;83;'constant',;None,;'lbfgs'};;
0.75926;(+/-0.15244);'tanh',;0.05,;88;'constant',;1;'lbfgs'};;
0.75926;(+/-0.15244);'tanh',;0.05,;88;'adaptive',;1;'lbfgs'};;
